cons,old,new
ESP_H52,1020,9
ESP_H53,1021,9
ESP_I,1022,9
ESP_J58T60,1023,9
ESP_J61,1024,9
ESP_J62_63,1025,9
ESP_K,1026,9
ESP_L,1027,9
ESP_M,1028,9
ESP_N,1029,9
ESP_O,1030,9
ESP_P,1031,9
ESP_Q,1032,9
ESP_R,1033,9
ESP_S,1034,9
ESP_T,1035,9
EST_A01_02,1036,7
EST_A03,1037,7
EST_B05_06,1038,8
EST_B07_08,1039,8
EST_B09,1040,8
EST_C10T12,1041,8
EST_C13T15,1042,8
EST_C16,1043,8
EST_C17_18,1044,8
EST_C19,1045,8
EST_C20,1046,8
EST_C21,1047,8
EST_C22,1048,8
EST_C23,1049,8
EST_C24,1050,8
EST_C25,1051,8
EST_C26,1052,8
EST_C27,1053,8
EST_C28,1054,8
EST_C29,1055,8
EST_C30,1056,8
EST_C31T33,1057,8
EST_D,1058,9
EST_E,1059,9
EST_F,1060,9
EST_G,1061,9
EST_H49,1062,9
EST_H50,1063,9
EST_H51,1064,9
EST_H52,1065,9
EST_H53,1066,9
EST_I,1067,9
EST_J58T60,1068,9
EST_J61,1069,9
EST_J62_63,1070,9
EST_K,1071,9
EST_L,1072,9
EST_M,1073,9
EST_N,1074,9
EST_O,1075,9
EST_P,1076,9
EST_Q,1077,9
EST_R,1078,9
EST_S,1079,9
EST_T,1080,9
FIN_A01_02,1081,7
FIN_A03,1082,7
FIN_B05_06,1083,8
FIN_B07_08,1084,8
FIN_B09,1085,8
FIN_C10T12,1086,8
FIN_C13T15,1087,8
FIN_C16,1088,8
FIN_C17_18,1089,8
FIN_C19,1090,8
FIN_C20,1091,8
FIN_C21,1092,8
FIN_C22,1093,8
FIN_C23,1094,8
FIN_C24,1095,8
FIN_C25,1096,8
FIN_C26,1097,8
FIN_C27,1098,8
FIN_C28,1099,8
FIN_C29,1100,8
FIN_C30,1101,8
FIN_C31T33,1102,8
FIN_D,1103,9
FIN_E,1104,9
FIN_F,1105,9
FIN_G,1106,9
FIN_H49,1107,9
FIN_H50,1108,9
FIN_H51,1109,9
FIN_H52,1110,9
FIN_H53,1111,9
FIN_I,1112,9
FIN_J58T60,1113,9
FIN_J61,1114,9
FIN_J62_63,1115,9
FIN_K,1116,9
FIN_L,1117,9
FIN_M,1118,9
FIN_N,1119,9
FIN_O,1120,9
FIN_P,1121,9
FIN_Q,1122,9
FIN_R,1123,9
FIN_S,1124,9
FIN_T,1125,9
FRA_A01_02,1126,7
FRA_A03,1127,7
FRA_B05_06,1128,8
FRA_B07_08,1129,8
FRA_B09,1130,8
FRA_C10T12,1131,8
FRA_C13T15,1132,8
FRA_C16,1133,8
FRA_C17_18,1134,8
FRA_C19,1135,8
FRA_C20,1136,8
FRA_C21,1137,8
FRA_C22,1138,8
FRA_C23,1139,8
FRA_C24,1140,8
FRA_C25,1141,8
FRA_C26,1142,8
FRA_C27,1143,8
FRA_C28,1144,8
FRA_C29,1145,8
FRA_C30,1146,8
FRA_C31T33,1147,8
FRA_D,1148,9
FRA_E,1149,9
FRA_F,1150,9
FRA_G,1151,9
FRA_H49,1152,9
FRA_H50,1153,9
FRA_H51,1154,9
FRA_H52,1155,9
FRA_H53,1156,9
FRA_I,1157,9
FRA_J58T60,1158,9
FRA_J61,1159,9
FRA_J62_63,1160,9
FRA_K,1161,9
FRA_L,1162,9
FRA_M,1163,9
FRA_N,1164,9
FRA_O,1165,9
FRA_P,1166,9
FRA_Q,1167,9
FRA_R,1168,9
FRA_S,1169,9
FRA_T,1170,9
GBR_A01_02,1171,7
GBR_A03,1172,7
GBR_B05_06,1173,8
GBR_B07_08,1174,8
GBR_B09,1175,8
GBR_C10T12,1176,8
GBR_C13T15,1177,8
GBR_C16,1178,8
GBR_C17_18,1179,8
GBR_C19,1180,8
GBR_C20,1181,8
GBR_C21,1182,8
GBR_C22,1183,8
GBR_C23,1184,8
GBR_C24,1185,8
GBR_C25,1186,8
GBR_C26,1187,8
GBR_C27,1188,8
GBR_C28,1189,8
GBR_C29,1190,8
GBR_C30,1191,8
GBR_C31T33,1192,8
GBR_D,1193,9
GBR_E,1194,9
GBR_F,1195,9
GBR_G,1196,9
GBR_H49,1197,9
GBR_H50,1198,9
GBR_H51,1199,9
GBR_H52,1200,9
GBR_H53,1201,9
GBR_I,1202,9
GBR_J58T60,1203,9
GBR_J61,1204,9
GBR_J62_63,1205,9
GBR_K,1206,9
GBR_L,1207,9
GBR_M,1208,9
GBR_N,1209,9
GBR_O,1210,9
GBR_P,1211,9
GBR_Q,1212,9
GBR_R,1213,9
GBR_S,1214,9
GBR_T,1215,9
GRC_A01_02,1216,7
GRC_A03,1217,7
GRC_B05_06,1218,8
GRC_B07_08,1219,8
GRC_B09,1220,8
GRC_C10T12,1221,8
GRC_C13T15,1222,8
GRC_C16,1223,8
GRC_C17_18,1224,8
GRC_C19,1225,8
GRC_C20,1226,8
GRC_C21,1227,8
GRC_C22,1228,8
GRC_C23,1229,8
GRC_C24,1230,8
GRC_C25,1231,8
GRC_C26,1232,8
GRC_C27,1233,8
GRC_C28,1234,8
GRC_C29,1235,8
GRC_C30,1236,8
GRC_C31T33,1237,8
GRC_D,1238,9
GRC_E,1239,9
GRC_F,1240,9
GRC_G,1241,9
GRC_H49,1242,9
GRC_H50,1243,9
